asn,count,bad_count,CCA
"acens Technologies, S.L.",8,1,0.125
BL Networks,7,6,0.8571428571428571
B2 Net Solutions Inc.,7,2,0.2857142857142857
LLC astra Cloud,7,0,0.0
Netinternet Bilisim Teknolojileri AS,7,3,0.42857142857142855
UK Dedicated Servers Limited,7,3,0.42857142857142855
Infrastructure Switzerland Colo Sarl,7,7,1.0
Webhosting Holdings LLC,7,3,0.42857142857142855
"Ultahost, Inc.",7,5,0.7142857142857143
Rackforest Zrt.,7,1,0.14285714285714285
"Databank Holdings, Ltd",7,0,0.0
"GitHub, Inc.",7,0,0.0
Raiola Networks S.L.,7,0,0.0
Tele2 SWIPnet,7,1,0.14285714285714285
CHINANET SiChuan Telecom Internet Data Center,7,1,0.14285714285714285
MULTACOM CORPORATION,7,3,0.42857142857142855
"IDC, China Telecommunications Corporation",7,2,0.2857142857142857
NIXVAL,7,1,0.14285714285714285
Chongqing Telecom,7,0,0.0
Heart Internet limited,7,0,0.0
Vodafone GmbH,7,2,0.2857142857142857
Safenames Ltd.,7,2,0.2857142857142857
KDDI CORPORATION,7,1,0.14285714285714285
Internet Initiative Japan Inc.,7,0,0.0
Fastweb,7,2,0.2857142857142857
"ACTIVE 24, s.r.o.",7,0,0.0
Verizon Business,7,3,0.42857142857142855
RETN Limited,7,7,1.0
BigScoots,7,1,0.14285714285714285
ODERLAND Webbhotell AB,7,1,0.14285714285714285
Fastmail Pty Ltd,7,2,0.2857142857142857
BELNET,7,0,0.0
UAB Interneto vizija,7,1,0.14285714285714285
34SP.com Limited,7,0,0.0
Octopuce s.a.r.l.,7,0,0.0
Fink Telecom Services GmbH,7,7,1.0
"Hong Kong Zhengxing Technology Co., Ltd.",6,1,0.16666666666666666
Telekom Austria,6,0,0.0
Servitro Ltd,6,0,0.0
Societe Francaise Du Radiotelephone - SFR SA,6,1,0.16666666666666666
AdminVPS OOO,6,0,0.0
Krypt Technologies,6,2,0.3333333333333333
Snel.com B.V.,6,5,0.8333333333333334
Servicepipe LLC,6,1,0.16666666666666666
3W Infra B.V.,6,2,0.3333333333333333
Internet Names For Business Inc.,6,1,0.16666666666666666
Zomro B.V.,6,2,0.3333333333333333
"Taiwan Fixed Network, Telco and Network Service Provider.",6,1,0.16666666666666666
Freethought Internet Limited,6,1,0.16666666666666666
PS Internet Company LLP,6,0,0.0
Ielo-liazo Services SAS,6,6,1.0
"Host Collective, Inc.",6,1,0.16666666666666666
SUPERDATA,6,2,0.3333333333333333
Netsons s.r.l.,6,2,0.3333333333333333
"Yuan-Jhen Info., Co., Ltd",6,1,0.16666666666666666
PVimpelCom,6,1,0.16666666666666666
Future Publishing Ltd,6,0,0.0
IQ PL Sp. z o.o.,6,2,0.3333333333333333
"Beijing Baidu Netcom Science and Technology Co., Ltd.",6,3,0.5
Telefonica De Espana S.a.u.,6,1,0.16666666666666666
OOO VPS,6,1,0.16666666666666666
Rambler Internet Holding LLC,6,0,0.0
Voxility LLP,6,2,0.3333333333333333
"10dencehispahard, S.L.",6,0,0.0
Tieteen tietotekniikan keskus Oy,6,4,0.6666666666666666
Host-Africa-AS2,6,5,0.8333333333333334
CJ2 Hosting B.V.,6,1,0.16666666666666666
"Hong Kong Communications International Co., Limited",6,4,0.6666666666666666
Mfi Investments Limited,6,6,1.0
"Forewin Telecom Group Limited, ISP at",6,0,0.0
Colorado State University,6,0,0.0
"Reflected Networks, Inc.",6,0,0.0
"Dominios, S.A.",5,1,0.2
Awareness Software Limited,5,1,0.2
"Admin on Demand, LLC",5,0,0.0
1337 Services GmbH,5,5,1.0
genesys informatica srl,5,2,0.4
WorkTitans B.V.,5,5,1.0
Silverhill Group Holding Ltd,5,5,1.0
"The Producers, Inc.",5,0,0.0
Serbia BroadBand-Srpske Kablovske mreze d.o.o.,5,3,0.6
Meteverse Limited.,5,2,0.4
Sentia Denmark A/S,5,1,0.2
Public Cloud Ltd.,5,0,0.0
LLP Kompaniya Hoster.KZ,5,0,0.0
ab stract ltd,5,4,0.8
Code For Host Inc Ltd,5,5,1.0
Hoasted B.V.,5,0,0.0
Adman LLC,5,1,0.2
"GridFury, LLC",5,1,0.2
FlokiNET ehf,5,3,0.6
AZDIGI Corporation,5,2,0.4
Redpill Linpro AS,5,0,0.0
Rackspace Ltd.,5,0,0.0
Webair Internet Development Company Inc.,5,4,0.8
